Date,Fonds,Horizon minimum conseillé,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans
2021-01-08,ATTIJARI DIVERSIFIE,4,539.68,0.25%,0.18%,5.99%,0.55%,11.23%,9.21%,35.94%
2021-01-15,ATTIJARI DIVERSIFIE,4,543.51,0.96%,0.71%,6.43%,0.26%,11.42%,9.34%,37.15%
2021-01-22,ATTIJARI DIVERSIFIE,4,546.53,1.52%,0.56%,6.98%,0.31%,11.49%,9.69%,37.75%
2021-01-29,ATTIJARI DIVERSIFIE,4,547.58,1.72%,0.19%,7.23%,0.88%,11.53%,9.54%,37.77%
2021-02-12,ATTIJARI DIVERSIFIE,4,549.92,2.15%,0.23%,7.33%,2.47%,11.25%,10.05%,38.14%
2021-02-19,ATTIJARI DIVERSIFIE,4,548.67,1.92%,0.23%,7.05%,1.53%,10.83%,9.63%,36.87%
2021-02-26,ATTIJARI DIVERSIFIE,4,545.32,1.30%,0.61%,6.71%,1.90%,10.52%,8.99%,36.51%
2021-03-05,ATTIJARI DIVERSIFIE,4,544.22,1.09%,0.20%,6.08%,4.55%,10.38%,8.71%,35.47%
2021-03-12,ATTIJARI DIVERSIFIE,4,546.67,1.55%,0.45%,6.58%,8.68%,11.52%,9.36%,35.74%
2021-03-19,ATTIJARI DIVERSIFIE,4,545.78,1.38%,0.16%,6.88%,12.27%,11.08%,9.43%,34.87%
2021-03-26,ATTIJARI DIVERSIFIE,4,545.27,1.29%,0.09%,7.21%,11.96%,11.63%,9.01%,34.09%
2021-04-02,ATTIJARI DIVERSIFIE,4,547.33,1.67%,0.38%,7.09%,13.46%,11.98%,9.48%,35.02%
2021-04-09,ATTIJARI DIVERSIFIE,4,547.94,1.79%,0.11%,6.48%,13.83%,11.36%,9.44%,34.83%
2021-04-16,ATTIJARI DIVERSIFIE,4,549.82,2.13%,0.34%,6.31%,14.74%,11.08%,9.67%,33.58%
2021-04-23,ATTIJARI DIVERSIFIE,4,550.67,2.29%,0.15%,6.16%,15.17%,11.14%,9.70%,33.59%
2021-04-30,ATTIJARI DIVERSIFIE,4,553.8,2.87%,0.57%,7.37%,14.35%,11.70%,10.28%,33.04%
2021-05-07,ATTIJARI DIVERSIFIE,4,557.2,3.51%,0.61%,7.13%,14.60%,11.59%,11.60%,33.03%
2021-05-17,ATTIJARI DIVERSIFIE,4,560.48,4.11%,0.59%,7.54%,15.55%,11.56%,12.62%,33.26%
2021-05-21,ATTIJARI DIVERSIFIE,4,560.12,4.05%,0.06%,6.60%,14.07%,11.91%,12.32%,33.99%
2021-05-28,ATTIJARI DIVERSIFIE,4,561.21,4.25%,0.19%,7.03%,13.56%,12.11%,13.52%,34.62%
2021-06-04,ATTIJARI DIVERSIFIE,4,565.35,5.02%,0.74%,7.35%,13.18%,13.05%,13.97%,35.10%
2021-06-11,ATTIJARI DIVERSIFIE,4,567.36,5.39%,0.36%,5.99%,13.98%,12.88%,14.69%,36.00%
2021-06-18,ATTIJARI DIVERSIFIE,4,568.27,5.56%,0.16%,5.04%,12.28%,11.22%,14.91%,36.50%
2021-06-24,ATTIJARI DIVERSIFIE,4,568.73,5.65%,0.08%,5.65%,12.16%,11.83%,15.89%,36.66%
2021-07-02,ATTIJARI DIVERSIFIE,4,568.76,5.65%,0.01%,5.20%,11.68%,11.79%,16.03%,36.50%
2021-07-09,ATTIJARI DIVERSIFIE,4,566.87,5.30%,0.33%,5.04%,11.33%,10.97%,16.25%,35.97%
2021-07-16,ATTIJARI DIVERSIFIE,4,566.36,5.21%,0.09%,4.20%,10.91%,9.60%,16.13%,35.18%
2021-07-23,ATTIJARI DIVERSIFIE,4,566.97,5.32%,0.11%,3.74%,10.98%,9.31%,15.14%,34.89%
2021-08-02,ATTIJARI DIVERSIFIE,4,570.53,5.98%,0.63%,4.19%,11.72%,9.85%,15.83%,35.40%
2021-08-06,ATTIJARI DIVERSIFIE,4,571.9,6.24%,0.24%,3.76%,11.63%,10.73%,16.15%,35.53%
2021-08-13,ATTIJARI DIVERSIFIE,4,573.36,6.51%,0.26%,4.26%,11.90%,10.89%,16.68%,36.26%
2021-08-23,ATTIJARI DIVERSIFIE,4,573.64,6.56%,0.05%,4.55%,11.92%,10.86%,16.75%,36.36%
2021-08-27,ATTIJARI DIVERSIFIE,4,575.51,6.91%,0.33%,5.54%,12.61%,10.63%,17.32%,36.76%
2021-09-03,ATTIJARI DIVERSIFIE,4,575.74,6.95%,0.04%,5.79%,12.22%,11.07%,18.73%,36.66%
2021-09-10,ATTIJARI DIVERSIFIE,4,578.41,7.45%,0.46%,5.81%,12.77%,11.49%,19.00%,37.31%
2021-09-17,ATTIJARI DIVERSIFIE,4,580.66,7.86%,0.39%,6.39%,13.71%,12.96%,19.45%,38.06%
2021-09-24,ATTIJARI DIVERSIFIE,4,581.97,8.11%,0.23%,6.73%,14.43%,13.32%,19.47%,38.40%
2021-10-01,ATTIJARI DIVERSIFIE,4,581.62,8.04%,0.06%,6.26%,13.80%,13.45%,19.37%,37.32%
2021-10-08,ATTIJARI DIVERSIFIE,4,583.33,8.36%,0.29%,6.46%,13.36%,13.69%,19.83%,36.73%
2021-10-15,ATTIJARI DIVERSIFIE,4,586.27,8.91%,0.50%,6.63%,13.36%,13.77%,20.54%,36.93%
2021-10-22,ATTIJARI DIVERSIFIE,4,586.78,9.00%,0.09%,6.56%,13.12%,13.74%,20.86%,35.73%
2021-10-29,ATTIJARI DIVERSIFIE,4,590.02,9.60%,0.55%,6.54%,14.39%,14.29%,22.06%,35.82%
2021-11-05,ATTIJARI DIVERSIFIE,4,588.14,9.25%,0.32%,5.55%,13.08%,13.77%,21.26%,35.35%
2021-11-12,ATTIJARI DIVERSIFIE,4,587.42,9.12%,0.12%,4.81%,12.71%,13.27%,21.10%,34.19%
2021-11-19,ATTIJARI DIVERSIFIE,4,587.98,9.22%,0.10%,4.97%,11.90%,12.47%,21.48%,33.57%
2021-11-26,ATTIJARI DIVERSIFIE,4,585.68,8.80%,0.39%,4.36%,11.70%,11.82%,20.24%,33.32%
2021-12-03,ATTIJARI DIVERSIFIE,4,584.46,8.57%,0.21%,3.38%,10.98%,11.54%,19.97%,32.65%
2021-12-10,ATTIJARI DIVERSIFIE,4,586.49,8.95%,0.35%,3.37%,9.57%,11.09%,20.49%,31.98%
2021-12-17,ATTIJARI DIVERSIFIE,4,585.38,8.74%,0.19%,3.01%,8.20%,9.88%,20.13%,30.03%
2021-12-24,ATTIJARI DIVERSIFIE,4,584.61,8.60%,0.13%,2.79%,8.60%,9.56%,20.24%,26.22%
2021-12-31,ATTIJARI DIVERSIFIE,4,586.89,9.02%,0.39%,3.19%,8.56%,10.52%,20.85%,22.41%
2022-01-07,ATTIJARI DIVERSIFIE,4,588.62,0.29%,0.29%,3.84%,9.07%,9.67%,21.31%,22.77%
2022-01-14,ATTIJARI DIVERSIFIE,4,593.24,1.08%,0.78%,4.75%,9.15%,9.43%,21.62%,23.67%
2022-01-21,ATTIJARI DIVERSIFIE,4,592.09,0.88%,0.19%,4.43%,8.34%,8.67%,20.79%,24.07%
2022-01-28,ATTIJARI DIVERSIFIE,4,591.07,0.71%,0.17%,3.60%,7.94%,8.89%,20.39%,23.90%
2022-02-04,ATTIJARI DIVERSIFIE,4,592.93,1.03%,0.31%,3.68%,7.58%,11.27%,20.54%,25.23%
2022-02-18,ATTIJARI DIVERSIFIE,4,589.58,0.46%,0.66%,2.78%,7.46%,9.10%,19.09%,24.93%
2022-02-25,ATTIJARI DIVERSIFIE,4,579.89,1.19%,1.64%,0.76%,6.34%,8.36%,17.52%,24.25%
2022-03-04,ATTIJARI DIVERSIFIE,4,574.25,2.16%,0.97%,0.26%,5.52%,10.32%,16.48%,22.65%
2022-03-11,ATTIJARI DIVERSIFIE,3,572.18,2.51%,0.36%,1.08%,4.67%,13.75%,16.72%,22.15%
2022-03-18,ATTIJARI DIVERSIFIE,4,577.7,1.57%,0.96%,0.51%,5.85%,18.84%,17.57%,22.54%
2022-03-25,ATTIJARI DIVERSIFIE,4,574.51,2.11%,0.55%,1.28%,5.36%,17.96%,17.61%,23.12%
2022-04-01,ATTIJARI DIVERSIFIE,4,577.71,1.57%,0.56%,0.67%,5.55%,19.75%,18.20%,23.81%
2022-04-08,ATTIJARI DIVERSIFIE,4,577.77,1.56%,0.01%,0.95%,5.44%,20.02%,17.42%,24.28%
2022-04-15,ATTIJARI DIVERSIFIE,4,578.41,1.45%,0.11%,1.34%,5.20%,20.71%,16.86%,24.77%
2022-04-22,ATTIJARI DIVERSIFIE,4,581.61,0.90%,0.55%,0.88%,5.62%,21.64%,17.38%,24.85%
2022-05-06,ATTIJARI DIVERSIFIE,4,577.91,1.53%,0.26%,1.74%,3.72%,18.86%,15.74%,22.61%
2022-05-13,ATTIJARI DIVERSIFIE,4,571.9,2.56%,1.04%,2.64%,2.04%,17.91%,13.83%,21.12%
2022-05-20,ATTIJARI DIVERSIFIE,4,571.83,2.57%,0.01%,2.75%,2.09%,16.46%,14.25%,20.86%
2022-05-27,ATTIJARI DIVERSIFIE,4,568.41,3.15%,0.60%,2.95%,1.28%,15.02%,13.55%,20.10%
2022-06-03,ATTIJARI DIVERSIFIE,4,573.2,2.33%,0.84%,1.93%,1.39%,14.75%,14.62%,20.87%
2022-06-10,ATTIJARI DIVERSIFIE,4,572.06,2.53%,0.20%,2.46%,0.83%,14.93%,13.81%,20.09%
2022-06-17,ATTIJARI DIVERSIFIE,4,563.22,4.03%,1.55%,3.79%,0.89%,11.28%,10.23%,18.03%
2022-06-24,ATTIJARI DIVERSIFIE,4,563.99,3.90%,0.14%,3.53%,0.83%,11.22%,10.90%,17.44%
2022-07-01,ATTIJARI DIVERSIFIE,4,558.39,4.86%,0.99%,4.86%,1.82%,9.65%,9.75%,15.97%
2022-07-08,ATTIJARI DIVERSIFIE,4,558.82,4.78%,0.08%,5.06%,1.42%,9.75%,9.40%,14.83%
2022-07-15,ATTIJARI DIVERSIFIE,4,561.04,4.41%,0.40%,5.43%,0.94%,9.87%,8.57%,15.63%
2022-07-22,ATTIJARI DIVERSIFIE,4,563.25,4.03%,0.39%,4.87%,0.66%,10.26%,8.59%,16.78%
2022-07-29,ATTIJARI DIVERSIFIE,4,562.02,4.24%,0.22%,4.91%,1.49%,10.06%,8.21%,15.99%
2022-08-05,ATTIJARI DIVERSIFIE,4,564.88,3.75%,0.51%,4.73%,1.23%,10.26%,9.37%,16.87%
2022-08-12,ATTIJARI DIVERSIFIE,4,569.59,2.95%,0.83%,4.02%,0.66%,11.17%,10.16%,17.54%
2022-08-19,ATTIJARI DIVERSIFIE,4,569.37,2.99%,0.04%,3.43%,0.74%,11.09%,10.04%,17.58%
2022-08-26,ATTIJARI DIVERSIFIE,4,568.18,3.19%,0.21%,2.02%,1.27%,11.18%,9.22%,17.48%
2022-09-02,ATTIJARI DIVERSIFIE,4,566.15,3.54%,0.36%,1.41%,1.67%,10.35%,9.22%,16.52%
2022-09-09,ATTIJARI DIVERSIFIE,4,567.3,3.34%,0.20%,0.85%,1.92%,10.61%,9.35%,16.08%
2022-09-16,ATTIJARI DIVERSIFIE,4,566.63,3.45%,0.12%,1.92%,2.42%,10.96%,10.23%,15.70%
2022-09-23,ATTIJARI DIVERSIFIE,4,566.65,3.45%,0.00%,1.37%,2.63%,11.42%,10.34%,16.40%
2022-09-30,ATTIJARI DIVERSIFIE,4,551.08,6.10%,2.75%,4.61%,5.25%,7.82%,7.50%,13.54%
2022-10-07,ATTIJARI DIVERSIFIE,4,552.7,5.83%,0.29%,4.34%,5.25%,7.40%,7.72%,13.26%
2022-10-14,ATTIJARI DIVERSIFIE,4,547.97,6.63%,0.86%,5.26%,6.53%,5.96%,6.33%,12.02%
2022-10-21,ATTIJARI DIVERSIFIE,4,540.72,7.87%,1.32%,7.03%,7.85%,4.24%,4.82%,11.08%
2022-10-28,ATTIJARI DIVERSIFIE,4,538.84,8.19%,0.35%,7.00%,8.67%,4.47%,4.38%,10.38%
2022-11-04,ATTIJARI DIVERSIFIE,4,536.71,8.55%,0.40%,7.13%,8.74%,3.19%,3.82%,9.79%
2022-11-11,ATTIJARI DIVERSIFIE,4,530.77,9.56%,1.11%,7.19%,9.64%,1.84%,2.34%,7.96%
2022-11-21,ATTIJARI DIVERSIFIE,4,536.86,8.53%,1.15%,5.55%,8.34%,2.39%,2.50%,9.17%
2022-11-25,ATTIJARI DIVERSIFIE,4,539.76,8.03%,0.54%,5.04%,7.84%,2.94%,3.05%,9.76%
2022-12-02,ATTIJARI DIVERSIFIE,4,542.32,7.60%,0.47%,5.39%,7.21%,2.98%,3.50%,10.45%
2022-12-09,ATTIJARI DIVERSIFIE,4,546.24,6.93%,0.72%,4.51%,6.86%,2.05%,3.47%,11.38%
2022-12-16,ATTIJARI DIVERSIFIE,4,542.21,7.61%,0.74%,3.73%,7.37%,0.22%,1.78%,10.56%
2022-12-23,ATTIJARI DIVERSIFIE,4,541.01,7.82%,0.22%,4.07%,7.46%,0.50%,1.39%,10.86%
2022-12-31,ATTIJARI DIVERSIFIE,4,536.23,8.63%,0.88%,3.97%,8.63%,0.81%,0.98%,9.26%
2023-01-06,ATTIJARI DIVERSIFIE,4,505.64,5.70%,5.70%,9.52%,14.10%,6.31%,5.79%,2.77%
2023-01-20,ATTIJARI DIVERSIFIE,4,512.96,4.34%,0.36%,8.93%,13.36%,6.14%,5.85%,3.19%
2023-01-27,ATTIJARI DIVERSIFIE,4,510.65,4.77%,0.45%,9.14%,13.61%,6.74%,5.92%,2.49%
2023-02-03,ATTIJARI DIVERSIFIE,4,516.48,3.68%,1.14%,8.57%,12.89%,6.29%,3.08%,3.32%
2023-02-10,ATTIJARI DIVERSIFIE,4,523.04,2.46%,1.27%,8.17%,11.87%,4.89%,2.54%,4.86%
