Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2021-02-12,549.92,2.15,0.23,7.33,2.47,11.25,10.05,38.14,-0.8271233472818107,11613.846000000001,0.19,0.56,0.71,0.18,0.0023,0.005895648042518017,0.005777367651990667,0.005751070743050229,0.004609772228646443
2021-02-19,548.67,1.92,0.23,7.05,1.53,10.83,9.63,36.87,-0.6963584672984413,11532.972,0.23,0.19,0.56,0.71,0.0023,0.005919694802511009,0.005895648042518017,0.005777367651990667,0.004539273069556401
2021-02-26,545.32,1.3,0.61,6.71,1.9,10.52,8.99,36.51,-1.4417619326570819,11366.694,0.23,0.23,0.19,0.56,0.0060999999999999995,0.005929286195039981,0.005919694802511009,0.005895648042518017,0.0034820970692960303
2021-03-05,544.22,1.09,0.2,6.08,4.55,10.38,8.71,35.47,-0.12619324493119422,11352.35,0.61,0.23,0.23,0.19,0.002,0.005852386959754355,0.005929286195039981,0.005919694802511009,0.0033771289581536568
2021-03-12,546.67,1.55,0.45,6.58,8.68,11.52,9.36,35.74,0.09763617224627374,11363.434,0.2,0.61,0.23,0.23,0.0045000000000000005,0.005919257509998514,0.005852386959754355,0.005929286195039981,0.001298075498574717
2021-03-19,545.78,1.38,0.16,6.88,12.27,11.08,9.43,34.87,1.0755375531727562,11485.652,0.45,0.2,0.61,0.23,0.0016,0.005852479521099841,0.005919257509998514,0.005852386959754355,0.0027613402542968155
2021-03-26,545.27,1.29,0.09,7.21,11.96,11.63,9.01,34.09,-0.30801908328755845,11450.274000000001,0.16,0.45,0.2,0.61,0.0009,0.005943921053862719,0.005852479521099841,0.005919257509998514,0.002797320146139873
2021-04-02,547.33,1.67,0.38,7.09,13.46,11.98,9.48,35.02,0.6269718960437043,11522.064,0.09,0.16,0.45,0.2,0.0038,0.006029091196709274,0.005943921053862719,0.005852479521099841,0.0025268557536986557
2021-04-09,547.94,1.79,0.11,6.48,13.83,11.36,9.44,34.83,0.21442338803185912,11546.77,0.38,0.09,0.16,0.45,0.0011,0.005912589779753281,0.006029091196709274,0.005943921053862719,0.002627736668694183
2021-04-16,549.82,2.13,0.34,6.31,14.74,11.08,9.67,33.58,0.7167891973253182,11629.536,0.11,0.38,0.09,0.16,0.0034000000000000002,0.006001938971887539,0.005912589779753281,0.006029091196709274,0.004167733196834941
2021-04-23,550.67,2.29,0.15,6.16,15.17,11.14,9.7,33.59,0.6081068066688067,11700.256,0.34,0.11,0.38,0.09,0.0015,0.005914068335425779,0.006001938971887539,0.005912589779753281,0.005903388857258176
2021-04-30,553.8,2.87,0.57,7.37,14.35,11.7,10.28,33.04,0.6281401022336652,11773.75,0.15,0.34,0.11,0.38,0.005699999999999999,0.005974789630380191,0.005914068335425779,0.006001938971887539,0.004334166586553867
2021-05-07,557.2,3.51,0.61,7.13,14.6,11.59,11.6,33.03,1.4846077078246145,11948.544,0.57,0.15,0.34,0.11,0.0060999999999999995,0.005867815327308826,0.005974789630380191,0.005914068335425779,0.0014089002803605371
2021-05-21,560.12,4.05,0.06,6.6,14.07,11.91,12.32,33.99,1.6681697786776306,12147.866,0.61,0.57,0.15,0.34,0.0006,0.005827551977193661,0.005867815327308826,0.005974789630380191,0.005402314318882233
2021-05-28,561.21,4.25,0.19,7.03,13.56,12.11,13.52,34.62,-0.2948007493661864,12112.054,0.06,0.61,0.57,0.15,0.0019,0.006007006162638018,0.005827551977193661,0.005867815327308826,0.0058189346103904626
2021-06-04,565.35,5.02,0.74,7.35,13.18,13.05,13.97,35.1,1.2413584021339297,12262.408,0.19,0.06,0.61,0.57,0.0074,0.005986745669641145,0.006007006162638018,0.005827551977193661,0.002785677655436824
